title;platform;genre;audience_score;critics_score;img
The Twilight Zone;paramount_plus;mystery_and_thriller;96;92;https://resizing.flixster.com/eWe2pVSjMymP-cQdHiFNlY0jkX8=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p183869_b_v8_ac.jpg
Active Shooter: America Under Fire;paramount_plus;crime;96;NA;https://resizing.flixster.com/c4M9UGIlIPP7k95o-NTMYNDnb30=/206x305/v2/https://resizing.flixster.com/AcKkL7pQzwN4XYg__HCUspxBTIs=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjI2MjMwMS53ZWJw
Signal;paramount_plus;crime;94;NA;https://resizing.flixster.com/7oAa0poUzNDoUjC18zKtOEPT41c=/206x305/v2/https://resizing.flixster.com/s2Lgo5eIDrNRKhniFNQyzppSOEQ=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjU3MDM5OC53ZWJw
Outcry;paramount_plus;crime;93;89;https://resizing.flixster.com/ciPapA4ow6Sys9RtOgPQt1IsxUM=/206x305/v2/https://resizing.flixster.com/ULRZqzb5WVlQoZ8WkeGCQL0wPrw=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjY3NTc3OC53ZWJw
Penny Dreadful;paramount_plus;horror;90;91;https://resizing.flixster.com/dJY5jTymcSscAErSOKDGy3r6Si0=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9707417_b_v8_ac.jpg
Wolf Pack;paramount_plus;horror;86;44;https://resizing.flixster.com/sBgyU31a4LFWxxMbxHwRcZGbnwI=/206x305/v2/https://resizing.flixster.com/RrL13n9Pb4rNTay1mZKOo70y8s4=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMWIyYjc2ZTctZmNlZi00ZjI5LTljNTctZmZkYzg4ZTNhZTI2LmpwZw==
SEAL Team;paramount_plus;action;87;NA;https://resizing.flixster.com/kh_IE9EGFDMJbxCKjXP4onVsVrY=/206x305/v2/https://resizing.flixster.com/qlRJTo_xdvMGcuLr6SsvDR-909s=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvODM5MGRkN2YtZTU2NS00ZjMyLWJhMWYtZGM2ZTI2NmE5MjI4LnBuZw==
Rise of the Teenage Mutant Ninja Turtles;paramount_plus;action;86;NA;https://resizing.flixster.com/zFkkwn_XHhPfcL2oMt23e9ithzc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15686643_b_v8_aa.jpg
NCIS;paramount_plus;action;85;NA;https://resizing.flixster.com/qiS4XCItSEzF0qT3HpkOK_67dGc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p184930_b_v12_ae.jpg
Signal;paramount_plus;mystery_and_thriller;94;NA;https://resizing.flixster.com/7oAa0poUzNDoUjC18zKtOEPT41c=/206x305/v2/https://resizing.flixster.com/s2Lgo5eIDrNRKhniFNQyzppSOEQ=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjU3MDM5OC53ZWJw
Mayor of Kingstown;paramount_plus;mystery_and_thriller;90;42;https://resizing.flixster.com/sNqVpEy-XR8-uGHIN9CI6QgelT0=/206x305/v2/https://resizing.flixster.com/UyXjBhH6bK6s6zQhjMLuOgs-1nc=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvODcxNWM3MTAtMmY3NC00MDcwLTlkNGYtNWE2NzVhMmI0ZTlkLmpwZw==
Fellow Travelers;paramount_plus;mystery_and_thriller;90;91;https://resizing.flixster.com/4kYtSUugBw0ixxhu0_ZQQllLIoE=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25499332_b_v13_aa.jpg
Penny Dreadful;paramount_plus;mystery_and_thriller;90;91;https://resizing.flixster.com/dJY5jTymcSscAErSOKDGy3r6Si0=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9707417_b_v8_ac.jpg
The 12th Victim;paramount_plus;crime;93;NA;https://resizing.flixster.com/ks-1ld0AOLm2lCEQC57bTE_yzcQ=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p23922889_b_v13_aa.jpg
Tulsa King;paramount_plus;crime;91;79;https://resizing.flixster.com/-B_mCaEy7US0K5zvdNyrKwdRTpk=/206x305/v2/https://resizing.flixster.com/rMrwBNWjPrgPkKLFnX1YeGzir58=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNGZlYmQ3ZmEtOTRmYi00YTU5LWJjYzQtNzE0MWU2ODRmZWYxLmpwZw==
Mayor of Kingstown;paramount_plus;crime;90;42;https://resizing.flixster.com/sNqVpEy-XR8-uGHIN9CI6QgelT0=/206x305/v2/https://resizing.flixster.com/UyXjBhH6bK6s6zQhjMLuOgs-1nc=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvODcxNWM3MTAtMmY3NC00MDcwLTlkNGYtNWE2NzVhMmI0ZTlkLmpwZw==
Escape at Dannemora;paramount_plus;crime;87;88;https://resizing.flixster.com/9aiU0S6801d3KpXmsX6S-5TKtJs=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15858915_b_v13_ab.jpg
